modelo_equipamento,num_série_equipamento,Quant,des_nome_equipamento,des_categoria,num_potencia,des_potencia,Marca,Id_sala,Setor,num_andar,des_nome_generico_equipamento,idade_equipamento,observ,responsável pela contagem,,,,,,,,,,,,,,,,,
,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,DECOR,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,4,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,DEPTO DE APOIO À PÓS GRADUAÇÃO,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO MIDEA,Climatização,36000,BTU,MIDEA,DEPTO DE APOIO À PÓS GRADUAÇÃO,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,12,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,DEPTO DE APOIO À PÓS GRADUAÇÃO,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
7433ip,,4,TELEFONE AASTRA 7433 IP,Outros,2.9,W,AASTRA,DEPTO DE APOIO À PÓS GRADUAÇÃO,PROPG,7,Ramal,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,1,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,SALA VICE PRÓ REITOR DAPG,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
7433ip,,1,TELEFONE AASTRA 7433 IP,Outros,2.9,W,AASTRA,SALA VICE PRÓ REITOR DAPG,PROPG,7,Ramal,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO AGRATTO,Climatização,9000,BTU,AGRATTO,SALA VICE PRÓ REITOR DAPG,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,4,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,COPA,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,16,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,COPA,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
CRM35,,1,GELADEIRA CONSUL FROST FREE EVOX CRM35,Eletrodoméstico,110,W,CONSUL,COPA,PROPG,7,Geladeira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
NN-ST254WRUN,,1,MICROONDAS PANASONIC NN-ST254WRUN,Eletrodoméstico,1250,W,PANASONIC,COPA,PROPG,7,Microondas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,CHALEIRA ELÉTRICA CADENCE,Eletrodoméstico,?1200,W,CADENCE,COPA,PROPG,7,Chaleira Elétrica,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
CP30,,1,CAFETEIRA BRITANIA CP30 INOX,Eletrodoméstico,750,W,BRITANIA,COPA,PROPG,7,Cafeteira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,TORRADEIRA MOLL,Eletrodoméstico,750,W,MOLL,COPA,PROPG,7,Torradeira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO AGRATTO,Climatização,18000,BTU,AGRATTO,COPA,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,6,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,SALA PRÓ REITOR ,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO AGRATTO,Climatização,18000,BTU,AGRATTO,SALA PRÓ REITOR ,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,1,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,SALA PRÓ REITOR ,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
7433ip,,1,TELEFONE AASTRA 7433 IP,Outros,2.9,W,AASTRA,SALA PRÓ REITOR ,PROPG,7,Ramal,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,SALA DE DIPLOMAS,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,3,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,SALA DE DIPLOMAS,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
7444 IP,,3,TELEFONE IP COM FIO AASTRA 7444 IP,Outros,39,W,AASTRA,SALA DE DIPLOMAS,PROPG,7,Ramal,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
P2419H,,4,MONITOR DELL P2419H,Informática,13.9,W,DELL,SALA DE DIPLOMAS,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
E52645,,1,IMPRESSORA HP LASER JET MANAGED MFP E52645,Informática,780,W,HP,SALA DE DIPLOMAS,PROPG,7,Impressora,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
CFC1,,1,CAFETEIRA ELÉTRICA ARNO CLASSIC CFC1 12 XIC,Eletrodoméstico,650,W,ARNO,SALA DE DIPLOMAS,PROPG,7,Cafeteira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO AGRATTO,Climatização,18000,BTU,AGRATTO,DIPLOMAS,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,REFRIGERADOR CONSUL ESSENCIAL,Eletrodoméstico,160,W,CONSUL,COPA ÁREA COMUM ,ÁREA COMUM,7,Geladeira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
MXSA35P1,,1,MICROONDAS MIDEA,Eletrodoméstico,1250,W,MIDEA,COPA ÁREA COMUM ,ÁREA COMUM,7,Microondas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,CHALEIRA ELÉTRICA GENÉRICA,Eletrodoméstico,?1200,W,LUNA,COPA ÁREA COMUM ,ÁREA COMUM,7,Chaleira Elétrica,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
CMM20,,1,CAFETEIRA ELÉTRICA ELETROLUX 30 XÍCARAS CMM20,Eletrodoméstico,750,W,ELETROLUX,COPA ÁREA COMUM ,ÁREA COMUM,7,Cafeteira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,2,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,COPA ÁREA COMUM ,ÁREA COMUM,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,6,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,BANHEIRO MASCULINO,ÁREA COMUM,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,6,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,BANHEIRO FEMININO,ÁREA COMUM,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,2,LÂMPADA LED BULBO,Iluminação,12,W,GENÉRICO,BANHEIRO FEMININO,ÁREA COMUM,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
50U6305/78G,506L8XA002707,1,TELEVISÃO AOC 50 POLEGADAS LED,Informática,105,W,AOC,SALA DE REUNIÕES 705,PROPESQ,7,Televisão,4,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
Vostro 15 3510,D13GPP3,1,NOTEBOOK DELL VOSTRO 15 3510,Informática,65,W,DELL,SALA DE REUNIÕES 705,PROPESQ,7,Computador,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
"PAQI - 18,000 - 2",1.20181E+12,1,CONDICIONADOR DE AR SPLIT ELGIN 18000 BTUS QUENTE/FRIO,Climatização,18000,BTU,ELGIN,SALA DE REUNIÕES 705,PROPESQ,7,Ar Condicionado,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO DE JANELA ELGIN 18000 BTUS,Climatização,18000,BTU,ELGIN,SALA DE REUNIÕES 705,PROPESQ,7,Ar Condicionado,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
LÂMPADA TUBULAR,,4,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,SALA DE REUNIÕES 705,PROPESQ,7,Lâmpadas,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
CM40,564,1,CAFETEIRA ELÉTRICA ELECTROLUX,Eletrodoméstico,1000,W,ELECTROLUX,COPA 7 PISO,ÁREA COMUM,7,Cafeteira,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
MXSA35P1,,1,FORNO DE MICRO-ONDAS MIDEA 35L,Eletrodoméstico,1000,W,MIDEA,COPA 7 PISO,ÁREA COMUM,7,Microondas,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
